Holder,Shares,Date Reported,% Out,Value,ABV
FJ Capital Management LLC,430000,2021-09-29,0.0981,10341500,GFED
"AllianceBernstein, L.P.",268719,2021-09-29,0.0613,6462691,GFED
Dimensional Fund Advisors LP,142985,2021-09-29,0.0326,3438789,GFED
"Vanguard Group, Inc. (The)",41050,2021-09-29,0.009399999999999999,987252,GFED
"Renaissance Technologies, LLC",40800,2021-09-29,0.009300000000000001,981240,GFED
"Ancora Advisors, Llc",39649,2021-09-29,0.009000000000000001,953558,GFED
Eidelman Virant Capital,32490,2021-09-29,0.0074,781384,GFED
Simmons Bank,27890,2021-09-29,0.0064,670754,GFED
"BHZ Capital Management, LP",22636,2021-09-29,0.0052,544395,GFED
"Bridgeway Capital Management, Inc.",16356,2021-09-29,0.0037,393361,GFED
