Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",5135786,2021-09-29,0.0883,1223087435,NDSN
Blackrock Inc.,4884174,2021-09-29,0.084,1163166038,NDSN
State Street Corporation,2002621,2021-09-29,0.0344,476924191,NDSN
Kayne Anderson Rudnick Investment Management LLC,1869838,2021-09-29,0.0321,445301919,NDSN
Massachusetts Financial Services Co.,1202978,2021-09-29,0.0207,286489210,NDSN
Atlanta Capital Management Company LLC,1188914,2021-09-29,0.0204,283139869,NDSN
"Neuberger Berman Group, LLC",965615,2021-09-29,0.0166,229961212,NDSN
"Champlain Investment Partners, LLC",929430,2021-09-29,0.016,221343754,NDSN
Keybank National Association,864484,2021-09-29,0.0149,205876864,NDSN
Royal London Asset Management Ltd,860265,2021-09-29,0.0148,204872109,NDSN
