Holder,Shares,Date Reported,% Out,Value,ABV
Deer IX & Co. Ltd.,7277945,2021-09-29,0.054400000000000004,91192650,SPIR
"Tiger Global Management, LLC",5000000,2021-09-29,0.0374,62650000,SPIR
Marcho Partners LLP,2500000,2021-09-29,0.0187,31325000,SPIR
"Francisco Partners Management, LP",2468492,2021-09-29,0.0184,30930204,SPIR
"Crescent Park Management, L.P.",1574000,2021-09-29,0.0118,19722220,SPIR
"Senator Investment Group, LP",1000000,2021-09-29,0.0075,12530000,SPIR
Baillie Gifford and Company,866045,2021-09-29,0.006500000000000001,10851543,SPIR
Maverick Capital Ltd.,700000,2021-09-29,0.0052,8771000,SPIR
"Vanguard Group, Inc. (The)",624013,2021-09-29,0.004699999999999999,7818882,SPIR
Linden Advisors LP,600000,2021-09-29,0.0045000000000000005,7518000,SPIR
