Holder,Shares,Date Reported,% Out,Value,ABV
Morgan Stanley,2998797,2021-09-29,0.0017000000000000001,80217819,E
Macquarie Group Limited,2037936,2021-09-29,0.0011,54514788,E
"Arrowstreet Capital, Limited Partnership",1819599,2021-09-29,0.001,48674273,E
Mondrian Investment Partners Ltd,1672604,2021-09-29,0.0009,44742157,E
Parametric Portfolio Associates,1343214,2021-09-29,0.0007000000000000001,35930974,E
"Goldman Sachs Group, Inc.",1070156,2021-09-29,0.0006,28626673,E
Brandes Investment Partners L.P.,1006754,2021-09-29,0.0006,26930669,E
"Fisher Asset Management, LLC",977938,2021-09-29,0.0005,26159841,E
CI Investments Inc.,822261,2021-09-29,0.0005,21995481,E
"Natixis Advisors, L.P.",779938,2021-09-29,0.0004,20863341,E
