Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",733517,2021-09-29,0.0258,3594233,EYEN
"Renaissance Technologies, LLC",197800,2021-09-29,0.006999999999999999,969220,EYEN
"Saltoro Capital, LP",173779,2021-09-29,0.0060999999999999995,851517,EYEN
"Geode Capital Management, LLC",162160,2021-09-29,0.005699999999999999,794584,EYEN
Millennium Management LLC,132734,2021-09-29,0.004699999999999999,650396,EYEN
"Two Sigma Advisers, LP",88800,2021-09-29,0.0031,435120,EYEN
"Two Sigma Investments, LP",80847,2021-09-29,0.0028000000000000004,396150,EYEN
Blackrock Inc.,55836,2021-09-29,0.002,273596,EYEN
"Financial Management Network, Inc.",55000,2021-09-29,0.0019,269500,EYEN
"Oak Family Advisors, LLC",53706,2021-09-29,0.0019,263159,EYEN
