Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",2371684,2021-09-29,0.0245,2202820,PHUN
Blackrock Inc.,1177001,2021-12-30,0.012199999999999999,3095512,PHUN
"Geode Capital Management, LLC",654425,2021-12-30,0.0068000000000000005,1721137,PHUN
State Street Corporation,275775,2021-09-29,0.0028000000000000004,256139,PHUN
"Sunbelt Securities, Inc.",262000,2021-09-29,0.0027,243345,PHUN
"Avidian Wealth Solutions, LLC",247870,2021-09-29,0.0026,230221,PHUN
Morgan Stanley,203455,2021-09-29,0.0021,188969,PHUN
"Cresset Asset Management, LLC",130830,2021-12-30,0.0014000000000000002,344082,PHUN
Northern Trust Corporation,123797,2021-12-30,0.0013,325586,PHUN
Virtu Financial LLC,118368,2021-09-29,0.0012,109940,PHUN
