Holder,Shares,Date Reported,% Out,Value,ABV
Invesco Ltd.,3523925,2021-09-29,0.0513,28719988,EVGO
Pictet Asset Management SA,2698269,2021-09-29,0.0393,21990892,EVGO
Blackrock Inc.,1728453,2021-09-29,0.025099999999999997,14086891,EVGO
Covalis Capital LLP,1192974,2021-09-29,0.0174,9722738,EVGO
Phoenix Holdings Ltd.,1165000,2021-09-29,0.0169,9494750,EVGO
"Tortoise Capital Advisors, LLC",1000000,2021-09-29,0.014499999999999999,8150000,EVGO
"Vanguard Group, Inc. (The)",911425,2021-09-29,0.013300000000000001,7428113,EVGO
"Wellington Management Group, LLP",711675,2021-09-29,0.0104,5800151,EVGO
"Susquehanna International Group, LLP",621415,2021-09-29,0.009000000000000001,5064532,EVGO
"Geode Capital Management, LLC",612304,2021-09-29,0.0089,4990277,EVGO
