Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",148779946,2021-09-29,0.08410000000000001,17575375020,ABT
Blackrock Inc.,134318636,2021-09-29,0.076,15867060470,ABT
Capital Research Global Investors,84452797,2021-09-29,0.0478,9976408909,ABT
State Street Corporation,72425589,2021-09-29,0.040999999999999995,8555634828,ABT
Capital International Investors,56988733,2021-09-29,0.0322,6732079029,ABT
Morgan Stanley,28420322,2021-09-29,0.0161,3357292637,ABT
"Geode Capital Management, LLC",27129289,2021-09-29,0.015300000000000001,3204782909,ABT
Massachusetts Financial Services Co.,26615193,2021-09-29,0.0151,3144052749,ABT
Northern Trust Corporation,25572803,2021-09-29,0.014499999999999999,3020915218,ABT
Bank of America Corporation,25329289,2021-09-29,0.0143,2992148909,ABT
