Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,24457861,2021-09-29,0.132,154084524,BKD
"Vanguard Group, Inc. (The)",17154619,2021-09-29,0.0926,108074099,BKD
Camber Capital Management LP,16000000,2021-09-29,0.0863,100800000,BKD
"Glenview Capital Management, LLC",13454840,2021-09-29,0.0726,84765492,BKD
Dimensional Fund Advisors LP,10999530,2021-09-29,0.0594,69297039,BKD
"Renaissance Technologies, LLC",9080102,2021-09-29,0.049,57204642,BKD
Edmond De Rothschild Holding S.A.,5525119,2021-09-29,0.0298,34808249,BKD
"Deerfield Management Company, L.P. (Series C)",5252800,2021-09-29,0.028300000000000002,33092640,BKD
State Street Corporation,4717512,2021-09-29,0.0255,29720325,BKD
"Shaw D.E. & Co., Inc.",4569026,2021-09-29,0.024700000000000003,28784863,BKD
