Holder,Shares,Date Reported,% Out,Value,ABV
Wynnefield Capital Management LLC,6398606,2021-09-29,0.2525,27301572,WLMS
Minerva Advisors LLC,1848450,2021-09-29,0.073,7886966,WLMS
"Vanguard Group, Inc. (The)",741496,2021-09-29,0.029300000000000003,3163815,WLMS
"Adirondack Research and Management, Inc",176035,2021-09-29,0.0069,751106,WLMS
"Geode Capital Management, LLC",138677,2021-09-29,0.0055000000000000005,591707,WLMS
O'Shaughnessy Asset Management LLC,62085,2021-09-29,0.0025,264904,WLMS
"CapWealth Advisors, LLC",61553,2021-09-29,0.0024,262634,WLMS
"Susquehanna International Group, LLP",52749,2021-09-29,0.0021,225069,WLMS
Blackrock Inc.,46457,2021-09-29,0.0018,198222,WLMS
State Street Corporation,39600,2021-09-29,0.0016,168965,WLMS
