Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,6678621,2021-09-29,0.11109999999999999,504436244,SIGI
"Vanguard Group, Inc. (The)",5633294,2021-09-29,0.09369999999999999,425482695,SIGI
Price (T.Rowe) Associates Inc,3050825,2021-09-29,0.0507,230428812,SIGI
Macquarie Group Limited,2626956,2021-09-29,0.0437,198413986,SIGI
State Street Corporation,1853556,2021-09-29,0.0308,139999084,SIGI
"AllianceBernstein, L.P.",1701724,2021-09-29,0.028300000000000002,128531213,SIGI
"Champlain Investment Partners, LLC",1505120,2021-09-29,0.025,113681713,SIGI
Dimensional Fund Advisors LP,1458353,2021-09-29,0.024300000000000002,110149402,SIGI
"Franklin Resources, Inc.",1361276,2021-09-29,0.0226,102817176,SIGI
Victory Capital Management Inc.,1266984,2021-09-29,0.021099999999999997,95695301,SIGI
