Holder,Shares,Date Reported,% Out,Value,ABV
Magnetar Financial LLC,2022347,2021-09-29,0.0756,20031347,IPVF
Weiss Asset Management LP,1336181,2021-09-29,0.0499,13234872,IPVF
Linden Advisors LP,1250000,2021-09-29,0.0467,12381250,IPVF
Glazer Capital LLC,1179709,2021-09-29,0.0441,11685017,IPVF
Millennium Management LLC,1160651,2021-09-29,0.0434,11496248,IPVF
Nomura Holdings Inc.,1125000,2021-09-29,0.042,11143125,IPVF
"Aristeia Capital, LLC",1050000,2021-09-29,0.0392,10400250,IPVF
Sculptor Capital Lp,1001780,2021-09-29,0.0374,9922630,IPVF
Fir Tree Capital Management LLP,857400,2021-09-29,0.032,8492547,IPVF
Marshall Wace LLP,767230,2021-09-29,0.0287,7599413,IPVF
