Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",16040524,2021-09-29,0.1209,1414774216,ATO
Blackrock Inc.,12918483,2021-09-29,0.0973,1139410200,ATO
State Street Corporation,9789929,2021-09-29,0.0738,863471737,ATO
"American Century Companies, Inc.",5474953,2021-09-29,0.041299999999999996,482890854,ATO
Magellan Asset Management Ltd,3861243,2021-09-29,0.0291,340561632,ATO
Deutsche Bank Aktiengesellschaft,2963181,2021-09-29,0.0223,261352564,ATO
Invesco Ltd.,2786424,2021-09-29,0.021,245762596,ATO
Pendal Group Ltd,2514877,2021-09-29,0.019,221812151,ATO
Price (T.Rowe) Associates Inc,2455807,2021-09-29,0.018500000000000003,216602177,ATO
"Geode Capital Management, LLC",2420074,2021-09-29,0.0182,213450526,ATO
