Holder,Shares,Date Reported,% Out,Value,ABV
"Deerfield Management Company, L.P. (Series C)",3148977,2021-09-29,0.122,29411445,ONCR
"MPM Asset Management, LLC",2849464,2021-09-29,0.1104,26613993,ONCR
BioImpact Capital LLC,2377031,2021-09-29,0.09210000000000002,22201469,ONCR
Citadel Advisors LLC,1882510,2021-09-29,0.0729,17582643,ONCR
CHI Advisors LLC,1755979,2021-09-29,0.068,16400843,ONCR
Blackrock Inc.,1105449,2021-09-29,0.042800000000000005,10324893,ONCR
Perceptive Advisors Llc,1099810,2021-09-29,0.0426,10272225,ONCR
Fosun International Ltd,962321,2021-09-29,0.0373,8988078,ONCR
Sphera Funds Management Ltd,880702,2021-09-29,0.0341,8225756,ONCR
"Vanguard Group, Inc. (The)",772956,2021-09-29,0.029900000000000003,7219409,ONCR
