Holder,Shares,Date Reported,% Out,Value,ABV
Parametric Portfolio Associates,5098705,2021-09-29,0.1246,78520057,GHY
SIT Investment Associates Inc,2007375,2021-09-29,0.049100000000000005,30913575,GHY
"Saba Capital Management, L.P.",1251385,2021-09-29,0.030600000000000002,19271329,GHY
Morgan Stanley,924184,2021-09-29,0.0226,14232433,GHY
"Rivernorth Capital Management, Llc",885317,2021-09-29,0.0216,13633881,GHY
Eaton Vance Management,860652,2021-09-29,0.021,13254040,GHY
Cohen & Steers Inc.,806183,2021-09-29,0.0197,12415218,GHY
Penserra Capital Management LLC,782655,2021-09-29,0.0191,12052887,GHY
Invesco Ltd.,647360,2021-09-29,0.0158,9969344,GHY
Wells Fargo & Company,490699,2021-09-29,0.012,7556764,GHY
