Holder,Shares,Date Reported,% Out,Value,ABV
Price (T.Rowe) Associates Inc,6389366,2021-09-29,0.1533,901859010,QDEL
"Vanguard Group, Inc. (The)",3480323,2021-09-29,0.08349999999999999,491247591,QDEL
Blackrock Inc.,3263857,2021-09-29,0.0783,460693415,QDEL
"Brown Capital Management, Inc.",2666553,2021-09-29,0.064,376383955,QDEL
"Wellington Management Group, LLP",1734826,2021-09-29,0.0416,244870689,QDEL
"Fred Alger Management, LLC",1641988,2021-09-29,0.0394,231766606,QDEL
State Street Corporation,1003072,2021-09-29,0.0241,141583612,QDEL
ArrowMark Colorado Holdings LLC,995677,2021-09-29,0.0239,140539808,QDEL
Oracle Investment Management Inc,906655,2021-09-29,0.0218,127974353,QDEL
Senvest Management LLC,864827,2021-09-29,0.0208,122070331,QDEL
