Holder,Shares,Date Reported,% Out,Value,ABV
Blackstone Inc,4894109,2021-12-30,0.1091,96413947,PRAX
"FMR, LLC",4576229,2021-12-30,0.102,90151711,PRAX
Eventide Asset Management LLC,3810599,2021-12-30,0.085,75068800,PRAX
Janus Henderson Group PLC,3342569,2021-12-30,0.0745,65848609,PRAX
"Vanguard Group, Inc. (The)",3292443,2021-12-30,0.07339999999999999,64861127,PRAX
"Vida Ventures Advisors, LLC",2939329,2021-12-30,0.0655,57904781,PRAX
Blackrock Inc.,2496696,2021-12-30,0.0557,49184911,PRAX
"AllianceBernstein, L.P.",1873510,2021-12-30,0.0418,36908147,PRAX
Avoro Capital Advisors LLC,1780000,2021-12-30,0.0397,35066000,PRAX
Citadel Advisors LLC,1623523,2021-12-30,0.0362,31983403,PRAX
