Holder,Shares,Date Reported,% Out,Value,ABV
"Adams Diversified Equity Fund, Inc.",2186774,2021-12-30,0.0908,36125506,PEO
Lazard Asset Management LLC,554598,2021-12-30,0.023,9161958,PEO
CSS LLC,530085,2021-12-30,0.022000000000000002,8757004,PEO
Bank of America Corporation,441787,2021-12-30,0.0183,7298321,PEO
UBS Group AG,379859,2021-12-30,0.0158,6275270,PEO
Morgan Stanley,325356,2021-12-30,0.013500000000000002,5374881,PEO
Royal Bank of Canada,295878,2021-12-30,0.0123,4887904,PEO
"Cornerstone Advisors, LLC",290405,2021-12-30,0.0121,4797490,PEO
Ionic Capital Management LLC,193666,2021-12-30,0.008,3199362,PEO
North Star Asset Management Inc.,162714,2021-12-30,0.0068000000000000005,2688035,PEO
