Holder,Shares,Date Reported,% Out,Value,ABV
Schroder Investment Management Group,3598159,2021-09-29,0.12140000000000001,164831663,JKS
Invesco Ltd.,2337361,2021-09-29,0.0789,107074507,JKS
Blackrock Inc.,2053616,2021-09-29,0.0693,94076148,JKS
"Vanguard Group, Inc. (The)",1272031,2021-09-29,0.0429,58271740,JKS
Mackenzie Financial Corporation,1230993,2021-09-29,0.0415,56391789,JKS
Dimensional Fund Advisors LP,1155240,2021-09-29,0.039,52921544,JKS
Allianz Asset Management GmbH,1113253,2021-09-29,0.037599999999999995,50998119,JKS
Handelsbanken Fonder AB,1041549,2021-09-29,0.0352,47713359,JKS
"Goldman Sachs Group, Inc.",899986,2021-09-29,0.0304,41228358,JKS
Bank of America Corporation,793749,2021-09-29,0.0268,36361641,JKS
