Holder,Shares,Date Reported,% Out,Value,ABV
Capital Research Global Investors,37209443,2021-09-29,0.1409,1291911860,STNE
Price (T.Rowe) Associates Inc,16749708,2021-09-29,0.0634,581549861,STNE
Lone Pine Capital Llc,15093113,2021-09-29,0.0572,524032883,STNE
"D1 Capital Partners, LP",11304969,2021-09-29,0.042800000000000005,392508523,STNE
"Berkshire Hathaway, Inc",10695448,2021-09-29,0.0405,371345954,STNE
Blackrock Inc.,6291167,2021-09-29,0.023799999999999998,218429318,STNE
"Nikko Asset Management Americas, Inc.",5913542,2021-09-29,0.022400000000000003,205318178,STNE
Tybourne Capital Management (HK) Limited,5766393,2021-09-29,0.0218,200209164,STNE
"Wellington Management Group, LLP",5624433,2021-09-29,0.0213,195280313,STNE
Invesco Ltd.,5153297,2021-09-29,0.0195,178922471,STNE
