Holder,Shares,Date Reported,% Out,Value,ABV
Morgan Stanley,1563167,2021-09-29,0.0823,66465860,BTO
"Raymond James Financial Services Advisors, Inc.",370111,2021-09-29,0.0195,15737119,BTO
Wells Fargo & Company,297914,2021-09-29,0.015700000000000002,12667303,BTO
Janney Montgomery Scott LLC,250914,2021-09-29,0.0132,10668863,BTO
Bank of America Corporation,177212,2021-09-29,0.009300000000000001,7535054,BTO
Royal Bank of Canada,135424,2021-09-29,0.0070999999999999995,5758228,BTO
"Raymond James & Associates, Inc.",116625,2021-09-29,0.0060999999999999995,4958895,BTO
North Star Asset Management Inc.,110468,2021-09-29,0.0058,4697099,BTO
FCA Corporation,94578,2021-09-29,0.005,4021456,BTO
"Steward Partners Investment Advisory, LLC",56437,2021-09-29,0.003,2399701,BTO
