Holder,Shares,Date Reported,% Out,Value,ABV
Royal Bank of Canada,35595393,2021-09-29,0.0647,1128018004,PBA
Deutsche Bank Aktiengesellschaft,20345085,2021-09-29,0.037000000000000005,644735743,PBA
Bank of Montreal/Can/,19858206,2021-09-29,0.0361,629306548,PBA
"Vanguard Group, Inc. (The)",17697771,2021-09-29,0.0322,560842362,PBA
Blackstone Inc,14229980,2021-09-29,0.0259,450948066,PBA
Toronto Dominion Bank,11520918,2021-09-29,0.0209,365097891,PBA
Bank Of Nova Scotia /,10321525,2021-09-29,0.018799999999999997,327089127,PBA
British Columbia Investment Management Corp,8810604,2021-09-29,0.016,279208040,PBA
FIL LTD,8801281,2021-09-29,0.016,278912594,PBA
"Cibc World Markets, Inc.",8645008,2021-09-29,0.015700000000000002,273960303,PBA
