Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",7009858,2021-09-29,0.0452,5177481,EVFM
"Shaw D.E. & Co., Inc.",4502323,2021-09-29,0.028999999999999998,3325415,EVFM
Blackrock Inc.,3868179,2021-09-29,0.024900000000000002,2857037,EVFM
"Baker Brothers Advisors, LLC",2697110,2021-09-29,0.0174,1992085,EVFM
"Geode Capital Management, LLC",1342497,2021-09-29,0.0086,991568,EVFM
"Susquehanna International Group, LLP",1260516,2021-09-29,0.008100000000000001,931017,EVFM
First Wilshire Securities Management Inc,1100000,2021-09-29,0.0070999999999999995,812460,EVFM
Fuller & Thaler Asset Management Inc.,1079860,2021-09-29,0.006999999999999999,797584,EVFM
Millennium Management LLC,650126,2021-09-29,0.0042,480183,EVFM
"Group One Trading, L.P.",413581,2021-09-29,0.0027,305470,EVFM
