Holder,Shares,Date Reported,% Out,Value,ABV
"Renaissance Technologies, LLC",4178486,2021-09-29,0.035,21602772,SB
Acadian Asset Management. LLC,3369215,2021-09-29,0.0282,17418841,SB
Blackrock Inc.,3211652,2021-09-29,0.0269,16604240,SB
"Goldman Sachs Group, Inc.",2524872,2021-09-29,0.021099999999999997,13053588,SB
Millennium Management LLC,2192570,2021-09-29,0.0183,11335586,SB
"Two Sigma Advisers, LP",2017800,2021-09-29,0.0169,10432026,SB
"Two Sigma Investments, LP",1621633,2021-09-29,0.013600000000000001,8383842,SB
Marshall Wace LLP,1584100,2021-09-29,0.013300000000000001,8189797,SB
Marshall Wace North America L.p.,1147280,2021-09-29,0.0096,5931437,SB
State Street Corporation,991952,2021-09-29,0.0083,5128391,SB
