Holder,Shares,Date Reported,% Out,Value,ABV
"Renaissance Technologies, LLC",807684,2021-09-29,0.0451,7172233,CHMI
"Vanguard Group, Inc. (The)",799857,2021-09-29,0.0447,7102730,CHMI
Blackrock Inc.,762527,2021-09-29,0.0426,6771239,CHMI
"Two Sigma Advisers, LP",314335,2021-09-29,0.0176,2791294,CHMI
"Two Sigma Investments, LP",295207,2021-09-29,0.0165,2621438,CHMI
"Geode Capital Management, LLC",195232,2021-09-29,0.0109,1733660,CHMI
"Wiley Bros.-Aintree Capital, LLC",166421,2021-09-29,0.009300000000000001,1477818,CHMI
Millennium Management LLC,144934,2021-09-29,0.008100000000000001,1287013,CHMI
LPL Financial LLC,136871,2021-09-29,0.0076,1215414,CHMI
Parametric Portfolio Associates,122718,2021-09-29,0.0069,1089735,CHMI
