Holder,Shares,Date Reported,% Out,Value,ABV
Sylebra Capital Ltd,3521015,2021-09-29,0.0408,94715303,MYTE
"Fred Alger Management, LLC",3339630,2021-09-29,0.0387,89836047,MYTE
Price (T.Rowe) Associates Inc,2582104,2021-09-29,0.029900000000000003,69458597,MYTE
"Times Square Capital Management, LLC",1674255,2021-09-29,0.0194,45037459,MYTE
Invesco Ltd.,1155729,2021-09-29,0.0134,31089110,MYTE
LMR Partners LLP,1000000,2021-09-29,0.0116,26900000,MYTE
"Franklin Resources, Inc.",875321,2021-09-29,0.0101,23546134,MYTE
Gam Holding AG,738029,2021-09-29,0.0085,19852980,MYTE
Man Group PLC,420339,2021-09-29,0.0049,11307119,MYTE
Artemis Investment Management LLP,410509,2021-09-29,0.0048,11042692,MYTE
