Holder,Shares,Date Reported,% Out,Value,ABV
Weiss Asset Management LP,1057618,2021-09-29,0.07150000000000001,10507434,ROCR
Fir Tree Capital Management LLP,669846,2021-09-29,0.0453,6654920,ROCR
Sanders Morris Harris LLC,660140,2021-09-29,0.0447,6558490,ROCR
Kepos Capital Lp,525000,2021-09-29,0.0355,5215875,ROCR
Glazer Capital LLC,467618,2021-09-29,0.0316,4645784,ROCR
Hudson Bay Capital Management Lp,456323,2021-09-29,0.030899999999999997,4533569,ROCR
"Falcon Edge Capital, LP",455714,2021-09-29,0.0308,4527518,ROCR
Omni Partners US LLC,450221,2021-09-29,0.0305,4472945,ROCR
Woodline Partners LP,450000,2021-09-29,0.0304,4470750,ROCR
Magnetar Financial LLC,357202,2021-09-29,0.0242,3548801,ROCR
