Holder,Shares,Date Reported,% Out,Value,ABV
HGC Investment Management Inc.,232910,2021-09-29,0.0155,2401302,CLAQU
"Rivernorth Capital Management, Llc",164086,2021-09-29,0.0109,1691726,CLAQU
MYDA Advisors LLC,128000,2021-09-29,0.0085,1319680,CLAQU
"SkyView Investment Advisors, LLC",100000,2021-09-29,0.0067,1031000,CLAQU
Magnetar Financial LLC,80000,2021-09-29,0.0053,824800,CLAQU
Walleye Capital LLC,63360,2021-09-29,0.0042,653241,CLAQU
Millennium Management LLC,37500,2021-09-29,0.0025,386625,CLAQU
Walleye Trading LLC,35640,2021-09-29,0.0024,367448,CLAQU
Landscape Capital Management LLC,13782,2021-09-29,0.0009,142092,CLAQU
"Wolverine Asset Management, LLC",925,2021-09-29,0.0001,9536,CLAQU
