Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",613781686,2021-09-29,0.0818,173037332917,MSFT
Blackrock Inc.,507117032,2021-09-29,0.0675,142966433661,MSFT
State Street Corporation,294432926,2021-09-29,0.0392,83006530497,MSFT
"FMR, LLC",215731468,2021-09-29,0.0287,60819015458,MSFT
Price (T.Rowe) Associates Inc,197579453,2021-09-29,0.0263,55701599389,MSFT
"Geode Capital Management, LLC",126079812,2021-09-29,0.0168,35544420599,MSFT
Capital World Investors,110359787,2021-09-29,0.0147,31112631151,MSFT
Capital Research Global Investors,94282634,2021-09-29,0.0126,26580160177,MSFT
Capital International Investors,91901445,2021-09-29,0.012199999999999999,25908855374,MSFT
Northern Trust Corporation,89592127,2021-09-29,0.011899999999999999,25257812443,MSFT
