Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",41889788,2021-09-29,0.08380000000000001,829836700,CLF
Blackrock Inc.,37287531,2021-09-29,0.0746,738665989,CLF
"FMR, LLC",36303105,2021-09-29,0.0726,719164510,CLF
State Street Corporation,14716149,2021-09-29,0.0294,291526911,CLF
"Fisher Asset Management, LLC",12594159,2021-09-29,0.0252,249490289,CLF
"Susquehanna International Group, LLP",8330447,2021-09-29,0.0167,165026155,CLF
Invesco Ltd.,7892182,2021-09-29,0.0158,156344125,CLF
"Gendell, Jeffrey L.",7518454,2021-09-29,0.015,148940573,CLF
"Geode Capital Management, LLC",5566486,2021-09-29,0.0111,110272087,CLF
Morgan Stanley,5286627,2021-09-29,0.0106,104728080,CLF
