Holder,Shares,Date Reported,% Out,Value,ABV
"Abingworth, LLP",5628558,2021-09-29,0.154,57749005,JSPR
Citadel Advisors LLC,3005035,2021-09-29,0.08220000000000001,30831659,JSPR
"Federated Hermes, Inc.",1500000,2021-09-29,0.040999999999999995,15390000,JSPR
Morgan Stanley,108860,2021-09-29,0.003,1116903,JSPR
"Jane Street Group, LLC",26030,2021-09-29,0.0007000000000000001,267067,JSPR
Tudor Investment Corporation,20000,2021-09-29,0.0005,205200,JSPR
Tower Research Capital LLC (TRC),8953,2021-09-29,0.0002,91857,JSPR
