Holder,Shares,Date Reported,% Out,Value,ABV
"Guggenheim Capital, LLC",1038539,2021-09-29,0.0302,16502384,MCA
Hollencrest Capital Management,845834,2021-09-29,0.0246,13440302,MCA
Bank of America Corporation,438570,2021-09-29,0.0127,6968877,MCA
Wells Fargo & Company,421241,2021-09-29,0.012199999999999999,6693519,MCA
UBS Group AG,342716,2021-09-29,0.01,5445757,MCA
Morgan Stanley,331138,2021-09-29,0.0096,5261782,MCA
"Hennion & Walsh Asset Management, Inc.",284212,2021-09-29,0.0083,4516128,MCA
Allianz Asset Management GmbH,192451,2021-09-29,0.005600000000000001,3058046,MCA
"Advisors Asset Management, Inc.",177606,2021-09-29,0.0052,2822159,MCA
"Advisor Group, Inc.",119167,2021-09-29,0.0034999999999999996,1893563,MCA
