Holder,Shares,Date Reported,% Out,Value,ABV
Sculptor Capital Lp,1171341,2021-09-29,0.0758,11771977,ARYD
Adage Capital Partners GP L.L.C.,1000000,2021-09-29,0.0647,10050000,ARYD
Tybourne Capital Management (HK) Limited,1000000,2021-09-29,0.0647,10050000,ARYD
Sphera Funds Management Ltd,1000000,2021-09-29,0.0647,10050000,ARYD
"Cowen and Company, LLC",814589,2021-09-29,0.0527,8186619,ARYD
Farallon Capital Management Llc,800000,2021-09-29,0.0518,8040000,ARYD
"Bain Capital Life Sciences Investors, LLC",700000,2021-09-29,0.0453,7035000,ARYD
"Affinity Asset Advisors, LLC",600000,2021-09-29,0.0388,6030000,ARYD
"Alyeska Investment Group, L.P.",595300,2021-09-29,0.0385,5982765,ARYD
Kepos Capital Lp,530000,2021-09-29,0.034300000000000004,5326500,ARYD
