Holder,Shares,Date Reported,% Out,Value,ABV
"ARK Investment Management, LLC",5165360,2021-09-29,0.1153,99381526,PSNL
JP Morgan Chase & Company,4356423,2021-09-29,0.0973,83817578,PSNL
Blackrock Inc.,3531961,2021-09-29,0.0789,67954929,PSNL
"Vanguard Group, Inc. (The)",1934400,2021-09-29,0.0432,37217856,PSNL
Marshall Wace LLP,1292248,2021-09-29,0.028900000000000002,24862851,PSNL
"Nikko Asset Management Americas, Inc.",1085026,2021-09-29,0.0242,20875900,PSNL
"Sumitomo Mitsui Trust Holdings, Inc.",1085026,2021-09-29,0.0242,20875900,PSNL
"Wellington Shields & Co., LLC",920478,2021-09-29,0.0206,17709996,PSNL
"Wellington Shields Capital Management, Llc",910786,2021-09-29,0.0203,17523522,PSNL
State Street Corporation,645013,2021-09-29,0.0144,12410050,PSNL
