Holder,Shares,Date Reported,% Out,Value,ABV
Magnetar Financial LLC,2258790,2021-09-29,0.0645,22417587,TETCU
Glazer Capital LLC,1491124,2021-09-29,0.0426,14798809,TETCU
"Apollo Management Holdings, L.P.",689227,2021-09-29,0.0197,6840302,TETCU
"Jane Street Group, LLC",514263,2021-09-29,0.0147,5103854,TETCU
Calamos Advisors LLC,500000,2021-09-29,0.0143,4962300,TETCU
Shaolin Capital Management LLC,423749,2021-09-29,0.0121,4205539,TETCU
BlueCrest Capital Management Ltd,400000,2021-09-29,0.011399999999999999,3969840,TETCU
Periscope Capital Inc.,337864,2021-09-29,0.0097,3353165,TETCU
Citigroup Inc.,303408,2021-09-29,0.0087,3011203,TETCU
Prelude Capital Management LLC,207274,2021-09-29,0.0059,2057111,TETCU
