Holder,Shares,Date Reported,% Out,Value,ABV
First Source Bank,7500031,2021-09-29,0.2999,354301464,SRCE
Dimensional Fund Advisors LP,1706074,2021-09-29,0.0682,80594935,SRCE
Blackrock Inc.,1265103,2021-09-29,0.0506,59763465,SRCE
"Vanguard Group, Inc. (The)",833344,2021-09-29,0.0333,39367170,SRCE
"Wellington Management Group, LLP",784280,2021-09-29,0.031400000000000004,37049387,SRCE
"AllianceBernstein, L.P.",778323,2021-09-29,0.0311,36767978,SRCE
State Street Corporation,487011,2021-09-29,0.0195,23006399,SRCE
Manufacturers Life Insurance Co.,431011,2021-09-29,0.0172,20360959,SRCE
Boston Trust Walden Corporation,364016,2021-09-29,0.0146,17196115,SRCE
"Geode Capital Management, LLC",319934,2021-09-29,0.0128,15113682,SRCE
