Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",10426673,2021-09-29,0.08310000000000001,115214736,LADR
Blackrock Inc.,10257607,2021-09-29,0.0818,113346557,LADR
"Koch Industries, Inc.",4000000,2021-09-29,0.0319,44200000,LADR
Brown Advisory Inc.,3980440,2021-09-29,0.0317,43983862,LADR
Citigroup Inc.,3466092,2021-09-29,0.0276,38300316,LADR
"Goldman Sachs Group, Inc.",2925665,2021-09-29,0.0233,32328598,LADR
State Street Corporation,2221622,2021-09-29,0.0177,24548923,LADR
Nuveen Asset Management,2058458,2021-09-29,0.016399999999999998,22745960,LADR
"Advisors Capital Management, LLC",1827224,2021-09-29,0.0146,20190825,LADR
JP Morgan Chase & Company,1756696,2021-09-29,0.013999999999999999,19411490,LADR
