Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",4642100,2021-09-29,0.09210000000000002,352521074,CWST
"Conestoga Capital Advisors, LLC",3538337,2021-09-29,0.0702,268701311,CWST
Wells Fargo & Company,3496567,2021-09-29,0.0694,265529297,CWST
Earnest Partners LLC,3240256,2021-09-29,0.0643,246065040,CWST
Blackrock Inc.,3117424,2021-09-29,0.061799999999999994,236737178,CWST
"Fred Alger Management, LLC",2367070,2021-09-29,0.047,179755295,CWST
JP Morgan Chase & Company,2105331,2021-09-29,0.0418,159878836,CWST
"Silvercrest Asset Management Group, LLC",1742103,2021-09-29,0.0346,132295301,CWST
Price (T.Rowe) Associates Inc,1598958,2021-09-29,0.0317,121424870,CWST
Invesco Ltd.,1375763,2021-09-29,0.0273,104475442,CWST
