Holder,Shares,Date Reported,% Out,Value,ABV
"Edenbrook Capital, LLC",4933946,2021-09-29,0.1431,15097874,PHX
Trigran Investments Inc,1514597,2021-09-29,0.043899999999999995,4634666,PHX
"Vanguard Group, Inc. (The)",1229689,2021-09-29,0.035699999999999996,3762848,PHX
"RBF Capital, LLC",647135,2021-09-29,0.018799999999999997,1980233,PHX
"Robotti, Robert E.",619177,2021-09-29,0.018000000000000002,1894681,PHX
"Renaissance Technologies, LLC",410670,2021-09-29,0.011899999999999999,1256650,PHX
Blackrock Inc.,408645,2021-09-29,0.011899999999999999,1250453,PHX
Dimensional Fund Advisors LP,402180,2021-09-29,0.011699999999999999,1230670,PHX
"Two Sigma Advisers, LP",319900,2021-09-29,0.009300000000000001,978894,PHX
Morgan Stanley,302031,2021-09-29,0.0088,924214,PHX
