Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",17446399,2021-09-29,0.13449999999999998,516587874,JBGS
Blackrock Inc.,13394287,2021-09-29,0.1033,396604838,JBGS
Norges Bank Investment Management,11714255,2020-12-30,0.09029999999999999,366304753,JBGS
Price (T.Rowe) Associates Inc,7923346,2021-09-29,0.0611,234610275,JBGS
JP Morgan Chase & Company,5416803,2021-09-29,0.0418,160391536,JBGS
State Street Corporation,5376517,2021-09-29,0.0414,159198668,JBGS
CenterSquare Investment Management LLC,4136476,2021-09-29,0.0319,122481054,JBGS
"V3 Capital Management, L.P.",3373041,2021-09-29,0.026000000000000002,99875744,JBGS
"Long Pond Capital, LP",3266584,2021-09-29,0.0252,96723552,JBGS
Invesco Ltd.,3055679,2021-09-29,0.0236,90478655,JBGS
