Holder,Shares,Date Reported,% Out,Value,ABV
"Walleye Trading, LLC",766545,2019-03-30,0.0649,68989,ALACW
Cowen Inc.,661905,2019-03-30,0.055999999999999994,59571,ALACW
HGC Investment Management Inc.,522300,2019-03-30,0.044199999999999996,47007,ALACW
Oxford Asset Management Llp,510000,2019-03-30,0.0432,45900,ALACW
Polar Asset Management Partners Inc.,500000,2019-03-30,0.042300000000000004,45000,ALACW
Glazer Capital LLC,384761,2019-03-30,0.0326,34628,ALACW
"Boothbay Fund Management, LLC",375000,2019-03-30,0.0317,33750,ALACW
Periscope Capital Inc.,216400,2019-03-30,0.0183,19476,ALACW
"PanAgora Asset Management, Inc.",205374,2019-03-30,0.0174,18483,ALACW
Berkley W R Corp,198484,2019-03-30,0.0168,17863,ALACW
