Holder,Shares,Date Reported,% Out,Value,ABV
Brandes Investment Partners L.P.,3059909,2021-12-30,0.09849999999999999,11535856,ORN
Dimensional Fund Advisors LP,2124131,2021-12-30,0.0684,8007973,ORN
Grace & White Inc /ny,1412815,2021-12-30,0.0455,5326312,ORN
"Vanguard Group, Inc. (The)",1342794,2021-09-29,0.0432,7304799,ORN
Royce & Associates LP,911644,2021-12-30,0.0294,3436897,ORN
"RBF Capital, LLC",903532,2021-09-29,0.0291,4915214,ORN
Acadian Asset Management. LLC,889816,2021-12-30,0.0286,3354606,ORN
Walthausen & Company LLC,769270,2021-12-30,0.0248,2900147,ORN
Blackrock Inc.,601076,2021-12-30,0.0194,2266056,ORN
"Bridgeway Capital Management, Inc.",592044,2021-09-29,0.0191,3220719,ORN
