Holder,Shares,Date Reported,% Out,Value,ABV
Advent International Corporation,63537154,2021-09-29,0.6297999999999999,886343298,SOVO
"Wellington Management Group, LLP",5805311,2021-09-29,0.0575,80984088,SOVO
Capital World Investors,3333400,2021-09-29,0.033,46500930,SOVO
"American Century Companies, Inc.",1901247,2021-09-29,0.018799999999999997,26522395,SOVO
"FMR, LLC",1449900,2021-09-29,0.0144,20226105,SOVO
"Driehaus Capital Management, LLC",1426157,2021-09-29,0.0141,19894890,SOVO
Millennium Management LLC,1296116,2021-09-29,0.0128,18080818,SOVO
Schroder Investment Management Group,1250000,2021-09-29,0.0124,17437500,SOVO
Candlestick Capital Management LP,1024345,2021-09-29,0.0102,14289612,SOVO
Citadel Advisors LLC,906546,2021-09-29,0.009000000000000001,12646316,SOVO
