Holder,Shares,Date Reported,% Out,Value,ABV
Royce & Associates LP,1426103,2021-09-29,0.0753,35766663,MCFT
"Vanguard Group, Inc. (The)",1353715,2021-09-29,0.07150000000000001,33951172,MCFT
"Systematic Financial Management, L.P.",1277667,2021-09-29,0.0674,32043888,MCFT
Blackrock Inc.,1203991,2021-09-29,0.0635,30196094,MCFT
Divisar Capital Management LLC,1081665,2021-09-29,0.0571,27128158,MCFT
Wasatch Advisors Inc,983381,2021-09-29,0.0519,24663195,MCFT
"ACK Asset Management, LLC",639064,2021-09-29,0.0337,16027725,MCFT
"Punch & Associates Investment Management, Inc.",544730,2021-09-29,0.0288,13661828,MCFT
Dimensional Fund Advisors LP,530555,2021-09-29,0.027999999999999997,13306319,MCFT
"22NW, LP",458289,2021-09-29,0.0242,11493888,MCFT
