Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",16407708,2021-09-29,0.1107,898978321,SEE
Blackrock Inc.,16279276,2021-09-29,0.1099,891941532,SEE
Price (T.Rowe) Associates Inc,16115193,2021-09-29,0.10880000000000001,882951424,SEE
State Street Corporation,7157164,2021-09-29,0.0483,392141015,SEE
Janus Henderson Group PLC,6857159,2021-09-29,0.0463,375703741,SEE
"Rivulet Capital, LLC",3218073,2021-09-29,0.0217,176318219,SEE
Bank of America Corporation,3180898,2021-09-29,0.0215,174281401,SEE
Kensico Capital Management Corp,3134257,2021-09-29,0.0212,171725941,SEE
"Geode Capital Management, LLC",2746315,2021-09-29,0.018500000000000003,150470598,SEE
"AllianceBernstein, L.P.",2483529,2021-09-29,0.0168,136072553,SEE
