0,1,ABV
Net Assets,,AJXA
NAV,,AJXA
PE Ratio (TTM),,AJXA
Yield,,AJXA
YTD Daily Total Return,,AJXA
Beta (5Y Monthly),,AJXA
Expense Ratio (net),,AJXA
Inception Date,,AJXA
