Holder,Shares,Date Reported,% Out,Value,ABV
Newport Trust Co,69776043,2021-09-29,0.6823999999999999,2355639211,PSN
Earnest Partners LLC,3609784,2021-09-29,0.0353,121866307,PSN
Mackenzie Financial Corporation,2980276,2021-09-29,0.0291,100614117,PSN
"Vanguard Group, Inc. (The)",2697403,2021-09-29,0.0264,91064325,PSN
Price (T.Rowe) Associates Inc,2497247,2021-09-29,0.024399999999999998,84307058,PSN
Blackrock Inc.,2009996,2021-09-29,0.0197,67857464,PSN
Wells Fargo & Company,1765147,2021-09-29,0.0173,59591362,PSN
State Street Corporation,1639302,2021-09-29,0.016,55342835,PSN
Bank of America Corporation,1469270,2021-09-29,0.0144,49602555,PSN
"ETF Managers Group, LLC",1446005,2021-09-29,0.0141,48817128,PSN
