Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",103694686,2021-09-29,0.0926,13374540600,QCOM
Blackrock Inc.,78059598,2021-09-29,0.0697,10068126950,QCOM
State Street Corporation,47620956,2021-09-29,0.0425,6142150904,QCOM
"FMR, LLC",38063548,2021-09-29,0.034,4909436421,QCOM
Price (T.Rowe) Associates Inc,21149731,2021-09-29,0.0189,2727892304,QCOM
"Geode Capital Management, LLC",18432987,2021-09-29,0.0165,2377486663,QCOM
"AllianceBernstein, L.P.",18239945,2021-09-29,0.0163,2352588106,QCOM
Invesco Ltd.,15168174,2021-09-29,0.013500000000000002,1956391082,QCOM
Bank of America Corporation,15152416,2021-09-29,0.013500000000000002,1954358615,QCOM
Bank Of New York Mellon Corporation,14990586,2021-09-29,0.0134,1933485782,QCOM
