Holder,Shares,Date Reported,% Out,Value,ABV
"Punch & Associates Investment Management, Inc.",436735,2021-09-29,0.051,4725472,ELMD
"Vanguard Group, Inc. (The)",303495,2021-09-29,0.0354,3283815,ELMD
Acadian Asset Management. LLC,270327,2021-09-29,0.0315,2924938,ELMD
Dimensional Fund Advisors LP,265111,2021-09-29,0.030899999999999997,2868501,ELMD
Hunter Associates Investment Management LLC,169536,2021-09-29,0.019799999999999998,1834379,ELMD
"Renaissance Technologies, LLC",136704,2021-09-29,0.016,1479137,ELMD
"Bridgeway Capital Management, Inc.",106338,2021-09-29,0.0124,1150577,ELMD
White Pine Capital LLC,104724,2021-09-29,0.012199999999999999,1133113,ELMD
Truist Financial Corp,96252,2021-09-29,0.011200000000000002,1041446,ELMD
Globeflex Capital L P,91228,2021-09-29,0.0106,987086,ELMD
