Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",1647850,2021-09-29,0.0679,130361413,PJT
Blackrock Inc.,1637621,2021-09-29,0.0675,129552197,PJT
"ClearBridge Investments, LLC",985015,2021-09-29,0.0406,77924536,PJT
Eagle Asset Management Inc,941424,2021-09-29,0.0388,74476052,PJT
ABRDN PLC,789592,2021-09-29,0.0325,62464623,PJT
"Loomis Sayles & Company, LP",707334,2021-09-29,0.0291,55957192,PJT
"William Blair Investment Management, LLC",639865,2021-09-29,0.0264,50619720,PJT
"Times Square Capital Management, LLC",638500,2021-09-29,0.0263,50511735,PJT
"Goldman Sachs Group, Inc.",531354,2021-09-29,0.0219,42035414,PJT
Bank Of New York Mellon Corporation,527224,2021-09-29,0.0217,41708690,PJT
