Holder,Shares,Date Reported,% Out,Value,ABV
Blackrock Inc.,3415500,2021-09-29,0.099,33198660,DHHC
Millennium Management LLC,2635999,2021-09-29,0.0764,25621910,DHHC
Adage Capital Partners GP L.L.C.,2400000,2021-09-29,0.0696,23328000,DHHC
HITE Hedge Asset Management LLC,1255579,2021-09-29,0.0364,12204227,DHHC
Marshall Wace LLP,950619,2021-09-29,0.0276,9240016,DHHC
UBS O'Connor LLC,897139,2021-09-29,0.026000000000000002,8720191,DHHC
"Shaw D.E. & Co., Inc.",854335,2021-09-29,0.0248,8304136,DHHC
Citadel Advisors LLC,812784,2021-09-29,0.0236,7900260,DHHC
"Saba Capital Management, L.P.",551885,2021-09-29,0.016,5364322,DHHC
Bank of Montreal/Can/,511856,2021-09-29,0.0148,4975240,DHHC
