Holder,Shares,Date Reported,% Out,Value,ABV
Carlyle Group Inc.,118106000,2021-12-30,0.4986,2526287340,OCDX
Price (T.Rowe) Associates Inc,19981658,2021-12-30,0.08439999999999999,427407664,OCDX
"Vanguard Group, Inc. (The)",11078724,2021-12-30,0.046799999999999994,236973906,OCDX
Blackrock Inc.,8732078,2021-12-30,0.0369,186779148,OCDX
Janus Henderson Group PLC,8068533,2021-12-30,0.0341,172585920,OCDX
JP Morgan Chase & Company,6941490,2021-12-30,0.029300000000000003,148478471,OCDX
"Shapiro Capital Management Company, Inc.",5947831,2021-12-30,0.025099999999999997,127224105,OCDX
"Versor Investments, LP",4413952,2021-12-30,0.018600000000000002,94414433,OCDX
Lazard Asset Management LLC,3758589,2021-12-30,0.0159,80396218,OCDX
Boston Partners,2809591,2021-12-30,0.011899999999999999,60097151,OCDX
