Holder,Shares,Date Reported,% Out,Value,ABV
"Nantahala Capital Management, LLC",1272570,2021-09-29,0.0873,63361260,TA
Blackrock Inc.,897989,2021-09-29,0.0616,44710872,TA
Goldman Sachs Group Inc,696980,2021-09-29,0.0478,34702634,TA
"AWM Investment Company, Inc.",674800,2021-09-29,0.0463,33598292,TA
"Portolan Capital Management, LLC",670411,2021-09-29,0.046,33379763,TA
"Vanguard Group, Inc. (The)",618981,2021-09-29,0.0425,30819063,TA
Dimensional Fund Advisors LP,509216,2021-09-29,0.0349,25353864,TA
State Street Corporation,275227,2021-09-29,0.0189,13703552,TA
"Geode Capital Management, LLC",229274,2021-09-29,0.015700000000000002,11415552,TA
"Bridgeway Capital Management, Inc.",208139,2021-09-29,0.0143,10363240,TA
