Holder,Shares,Date Reported,% Out,Value,ABV
Polar Asset Management Partners Inc.,2376000,2021-06-29,0.0861,22944319,EAC
Fir Tree Capital Management LLP,2376000,2021-06-29,0.0861,22944319,EAC
Adage Capital Partners GP L.L.C.,1800000,2021-06-29,0.0652,17382060,EAC
Hudson Bay Capital Management LP,1080250,2021-06-29,0.0391,10431650,EAC
Periscope Capital Inc.,1059100,2021-06-29,0.0384,10227410,EAC
"Radcliffe Capital Management, L.P.",800000,2021-06-29,0.028999999999999998,7725360,EAC
"Aristeia Capital, LLC",632736,2021-06-29,0.0229,6110141,EAC
Citadel Advisors LLC,594596,2021-06-29,0.0215,5741835,EAC
"Saba Capital Management, L.p.",552650,2021-06-29,0.02,5336775,EAC
"Tenor Capital Management Co., L.p.",500000,2021-06-29,0.0181,4828350,EAC
