Holder,Shares,Date Reported,% Out,Value,ABV
Morgan Stanley,3558166,2021-12-30,0.0599,35474915,CHW
"Guggenheim Capital, LLC",1114847,2021-12-30,0.018799999999999997,11115024,CHW
"Advisors Asset Management, Inc.",630924,2021-12-30,0.0106,6290312,CHW
"Baird Financial Group, Inc.",425240,2021-12-30,0.0072,4239642,CHW
"Commonwealth Equity Services, LLC",341884,2021-12-30,0.0058,3408583,CHW
"Raymond James & Associates, Inc.",312677,2021-12-30,0.0053,3117389,CHW
"Ameriprise Financial, Inc.",293055,2021-12-30,0.0049,2921758,CHW
Penserra Capital Management LLC,290942,2021-12-30,0.0049,2900691,CHW
Wells Fargo & Company,266315,2021-12-30,0.0045000000000000005,2655160,CHW
LPL Financial LLC,246959,2021-12-30,0.0042,2462181,CHW
