0,1,ABV
Net Assets,,ECCX
NAV,,ECCX
PE Ratio (TTM),,ECCX
Yield,,ECCX
YTD Daily Total Return,,ECCX
Beta (5Y Monthly),,ECCX
Expense Ratio (net),,ECCX
Inception Date,,ECCX
