Holder,Shares,Date Reported,% Out,Value,ABV
"Mudrick Capital Management, L.P.",10101029,2021-09-29,0.48560000000000003,3534350,HYMCW
First Manhattan Company,2100000,2021-09-29,0.10099999999999999,734790,HYMCW
"Aristeia Capital, LLC",1910975,2021-09-29,0.0919,668650,HYMCW
683 Capital Management LLC,1201854,2021-09-29,0.057800000000000004,420528,HYMCW
Linden Advisors LP,1010898,2021-09-29,0.048600000000000004,353713,HYMCW
"Scoggin Management, LP",881921,2021-09-29,0.0424,308584,HYMCW
"Highbridge Capital Management, LLC.",520532,2021-09-29,0.025,182134,HYMCW
"Goldman Sachs Group, Inc.",250000,2021-09-29,0.012,87475,HYMCW
"Diametric Capital, LP",183761,2021-09-29,0.0088,64297,HYMCW
"Wolverine Asset Management, LLC",169985,2021-09-29,0.008199999999999999,59477,HYMCW
