Holder,Shares,Date Reported,% Out,Value,ABV
"Claybrook Capital, LLC",267713,2021-09-29,0.0239,3110825,PNI
"Hennion & Walsh Asset Management, Inc.",225375,2021-09-29,0.020099999999999996,2618857,PNI
"Guggenheim Capital, LLC",220102,2021-09-29,0.0197,2557585,PNI
UBS Group AG,84799,2021-09-29,0.0076,985364,PNI
"Raymond James Financial Services Advisors, Inc.",77771,2021-09-29,0.006999999999999999,903699,PNI
Morgan Stanley,46659,2021-09-29,0.0042,542177,PNI
Invesco Ltd.,34984,2021-09-29,0.0031,406514,PNI
"Kestra Advisory Services, LLC",33348,2021-09-29,0.003,387503,PNI
"Robinson Capital Management, LLC",29322,2021-09-29,0.0026,340721,PNI
"Toroso Investments, LLC",18509,2021-09-29,0.0017000000000000001,215074,PNI
