Holder,Shares,Date Reported,% Out,Value,ABV
Van Eck Associates Corporation,70303748,2021-09-29,0.1033,74521972,NGD
"Renaissance Technologies, LLC",16583280,2021-09-29,0.024399999999999998,17578276,NGD
Connor Clark & Lunn Investment Management Ltd,12889756,2021-09-29,0.0189,13663141,NGD
"TSP Capital Management Group, LLC",10501000,2021-09-29,0.0154,11131060,NGD
"Kopernik Global Investors, LLC",10127717,2021-09-29,0.0149,10735380,NGD
Invesco Ltd.,9045710,2021-09-29,0.013300000000000001,9588452,NGD
"ETF Managers Group, LLC",7617763,2021-09-29,0.011200000000000002,8074828,NGD
Morgan Stanley,6436757,2021-09-29,0.0095,6822962,NGD
Bank of America Corporation,4552911,2021-09-29,0.0067,4826085,NGD
"Intact Investment Management, Inc.",4185700,2021-09-29,0.0060999999999999995,4436842,NGD
