Holder,Shares,Date Reported,% Out,Value,ABV
"Renaissance Technologies, LLC",801165,2021-09-29,0.0452,1169700,DYNT
North Run Capital LP,250868,2021-09-29,0.0141,366267,DYNT
"Vanguard Group, Inc. (The)",106188,2021-09-29,0.006,155034,DYNT
"Perritt Capital Management, Inc.",100000,2021-09-29,0.005600000000000001,146000,DYNT
Albion Financial Group,90000,2021-09-29,0.0051,131400,DYNT
Millennium Management LLC,82521,2021-09-29,0.004699999999999999,120480,DYNT
"Advisor Group, Inc.",78568,2021-09-29,0.0044,114709,DYNT
"Geode Capital Management, LLC",61159,2021-09-29,0.0034000000000000002,89292,DYNT
"Goldman Sachs Group, Inc.",38082,2021-09-29,0.0021,55599,DYNT
"Two Sigma Advisers, LP",29394,2021-09-29,0.0017000000000000001,42915,DYNT
