Holder,Shares,Date Reported,% Out,Value,ABV
JB Capital Partners LP,4299593,2021-09-29,0.0545,9760076,FLNT
"Wellington Management Group, LLP",4006881,2021-09-29,0.0508,9095619,FLNT
Blackrock Inc.,3101885,2021-09-29,0.0393,7041278,FLNT
"Tieton Capital Management, LLC",2944008,2021-09-29,0.0373,6682898,FLNT
"Vanguard Group, Inc. (The)",2056951,2021-09-29,0.026099999999999998,4669278,FLNT
"Geode Capital Management, LLC",887152,2021-09-29,0.011200000000000002,2013835,FLNT
Dimensional Fund Advisors LP,795889,2021-09-29,0.0101,1806668,FLNT
State Street Corporation,745887,2021-09-29,0.009399999999999999,1693163,FLNT
"Private Advisor Group, LLC",548183,2021-09-29,0.0069,1244375,FLNT
Hennessy Advisors Inc,473400,2021-09-29,0.006,1074618,FLNT
