Holder,Shares,Date Reported,% Out,Value,ABV
"Silver Point Capital, L.P.",2098200,2021-09-29,0.09939999999999999,55245606,RVI
Blackrock Inc.,1694172,2021-09-29,0.0802,44607548,RVI
"Goldman Sachs Group, Inc.",1172479,2021-09-29,0.0555,30871372,RVI
"Indaba Capital Management, L.P.",1013245,2021-09-29,0.048,26678740,RVI
"V3 Capital Management, L.P.",936748,2021-09-29,0.0444,24664574,RVI
"Vanguard Group, Inc. (The)",863105,2021-09-29,0.0409,22725554,RVI
"Wellington Management Group, LLP",647987,2021-09-29,0.030699999999999998,17061497,RVI
State Street Corporation,506528,2021-09-29,0.024,13336882,RVI
"FMR, LLC",462293,2021-09-29,0.0219,12172174,RVI
"Renaissance Technologies, LLC",426666,2021-09-29,0.0202,11234115,RVI
