Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",406283,2021-12-30,0.0282,873508,ABIO
Blackrock Inc.,271722,2021-12-30,0.0189,584202,ABIO
"Geode Capital Management, LLC",95358,2021-12-30,0.0066,205019,ABIO
State Street Corporation,69937,2021-12-30,0.0049,150364,ABIO
Acadian Asset Management. LLC,57822,2021-12-30,0.004,124317,ABIO
Dimensional Fund Advisors LP,42498,2021-12-30,0.0029,91370,ABIO
Citadel Advisors LLC,39967,2021-12-30,0.0028000000000000004,85929,ABIO
Tekla Capital Management LLCC.,32461,2021-12-30,0.0023,69791,ABIO
"Susquehanna International Group, LLP",32067,2021-12-30,0.0022,68944,ABIO
Millennium Management LLC,28448,2021-12-30,0.002,61163,ABIO
