Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",5812592,2021-09-29,0.1048,877178258,MKSI
Blackrock Inc.,5195623,2021-09-29,0.09369999999999999,784071466,MKSI
"Wellington Management Group, LLP",4682964,2021-09-29,0.08439999999999999,706706097,MKSI
Capital International Investors,4524421,2021-09-29,0.0816,682780373,MKSI
JP Morgan Chase & Company,2182695,2021-09-29,0.0394,329390502,MKSI
State Street Corporation,1382528,2021-09-29,0.024900000000000002,208637300,MKSI
"Goldman Sachs Group, Inc.",1309938,2021-09-29,0.0236,197682743,MKSI
"Neuberger Berman Group, LLC",1301257,2021-09-29,0.0235,196372693,MKSI
Invesco Ltd.,1254631,2021-09-29,0.0226,189336364,MKSI
Ceredex Value Advisors LLC,978216,2021-09-29,0.0176,147622576,MKSI
